#,Title,Description,Kind,Branch,Duration (min),Success %,Risk Level,Location,Cost Estimate,Fallback,Depends On,Sub-Goals
1,تعیین چشم‌انداز محصول و ارزش پیشنهادی,تعیین دقیق خدماتی که ارائه خواهید داد و ارزشی که برای مشتریان ایجاد می‌کنید. این مرحله پایه و اساس تمام تصمیمات بعدی است.,action,main,480,90%,متوسط,دفتر یا فضای کار مشترک,"۱۰۰,۰۰۰ تومان (برای جلسات و تحقیقات اولیه)",بازگشت به مرحله تحقیقات بازار برای درک بهتر نیازها,,"تعیین خدمات اصلی و تخصص‌های کلیدی, تعیین مخاطبان هدف اولیه, تعیین ارزش پیشنهادی منحصر به فرد"
2,تحقیقات بازار و رقبا,بررسی دقیق بازار هدف، تحلیل رقبای موجود، و شناسایی فرصت‌ها و تهدیدها. این تحقیقات به شما کمک می‌کند استراتژی دقیقی تدوین کنید.,research,main,720,85%,متوسط,محل تحقیقات میدانی و آنلاین,"۲۰۰,۰۰۰ تومان (برای مصاحبه‌ها و ابزارهای تحقیقاتی)",استفاده از داده‌های ثانویه و گزارش‌های موجود,a,"مصاحبه با حداقل ۱۰ مشتری هدف, تحلیل حداقل ۵ رقیب مستقیم, شناسایی نیازهای برآورده نشده بازار"
3,تدوین مدل کسب‌وکار و پیش‌بینی مالی,ایجاد مدل کسب‌وکار، تعیین قیمت‌گذاری، و پیش‌بینی‌های مالی برای ۱۸ ماه اول. این مرحله برای جذب سرمایه‌گذار ضروری است.,action,main,960,80%,بالا,دفتر یا محل کار,"۵۰,۰۰۰ تومان (برای نرم‌افزارهای مالی)",استفاده از الگوهای استاندارد کسب‌وکار,b,"تعیین مدل درآمدزایی, تدوین پیش‌بینی‌های مالی, تعیین قیمت‌گذاری خدمات"
4,راه‌اندازی پلتفرم دیجیتال,ایجاد وب‌سایت، سیستم مدیریت ارتباط با مشتری (CRM) و ابزارهای آموزشی آنلاین. این پلتفرم به عنوان مرکز تعاملات شما عمل خواهد کرد.,action,main,2880,75%,متوسط,فضای توسعه فناوری,"۳,۰۰۰,۰۰۰ تومان (برای توسعه و ابزارها)",استفاده از پلتفرم‌های آماده و سفارشی‌سازی محدود,c,"توسعه وب‌سایت با قابلیت رزرو, راه‌اندازی سیستم CRM, ایجاد پورتال آموزش آنلاین"
5,تدوین استراتژی بازاریابی و فروش,ایجاد برنامه جامع بازاریابی و فروش برای جذب مشتریان اولیه. تمرکز بر روش‌های دیجیتال و شبکه‌سازی محلی.,action,marketing,720,80%,متوسط,دفتر یا مکان استراتژی,"۳۰۰,۰۰۰ تومان (برای ابزارهای بازاریابی)",تمرکز بر بازاریابی دهان به دهان و شبکه‌سازی شخصی,b,"تعیین کانال‌های بازاریابی, تدوین پیام‌های بازاریابی, تعیین استراتژی قیمت‌گذاری خدمات"
6,شبکه‌سازی و ایجاد روابط کلیدی,برگزاری جلسات با شرکای بالقوه، مشتریان اولیه و سرمایه‌گذاران. این مرحله برای ایجاد اعتبار و یافتن فرصت‌های تجاری ضروری است.,action,networking,960,70%,متوسط,مراکز کسب‌وکار، رویدادها و جلسات آنلاین,"۵۰۰,۰۰۰ تومان (برای حضور در رویدادها)",تمرکز بر شبکه‌سازی آنلاین و استفاده از پلتفرم‌های حرفه‌ای,e,"حضور در حداقل ۵ رویداد صنعتی, ارتباط با حداقل ۱۰ شریک بالقوه, ایجاد روابط با سازمان‌های مرتبط"
7,تدوین برنامه عملیاتی و منابع انسانی,تعریف ساختار سازمانی، نقش‌ها و مسئولیت‌ها، و برنامه استخدام. این برنامه برای مدیریت رشد اولیه ضروری است.,action,operations,600,85%,پایین,دفتر یا محل برنامه‌ریزی,"۲۰۰,۰۰۰ تومان (برای ابزارهای مدیریت پروژه)",استفاده از پیمانکاران و همکاران خارجی,c,"تعیین ساختار سازمانی اولیه, تعیین نقش‌های کلیدی, تدوین برنامه استخدام"
8,جذب مشتریان اولیه,اجرای استراتژی بازاریابی برای جذب مشتریان اولیه و جمع‌آوری بازخوردها برای بهبود خدمات. این مرحله برای کسب درآمد اولیه حیاتی است.,action,main,1440,65%,بالا,بازار هدف و پلتفرم‌های بازاریابی,"۱,۰۰۰,۰۰۰ تومان (برای کمپین‌های بازاریابی)",تمرکز بر مشتریان با هزینه جذب کمتر,"d, e, f","جذب حداقل ۵ مشتری اولیه, جمع‌آوری بازخوردها, بهینه‌سازی خدمات بر اساس بازخوردها"
9,نقطه عطف: اولین درآمدزایی,رسیدن به اولین درآمدزایی پایدار و تحلیل عملکرد اولیه. این نقطه عطف نشان‌دهنده موفقیت مدل کسب‌وکار شماست.,milestone,milestone,0,70%,متوسط,دفتر محل کار,صفر,بازنگری در مدل کسب‌وکار و خدمات,h,"رسیدن به درآمد ماهانه اول, تحلیل رضایت مشتریان, ارزیابی اثربخشی استراتژی‌ها"
10,توسعه خدمات و فرآیندها,بهبود خدمات بر اساس بازخوردها و توسعه فرآیندهای داخلی برای افزایش کارایی. این مرحله برای پایداری رشد ضروری است.,action,main,1200,80%,پایین,دفتر و محل ارائه خدمات,"۴۰۰,۰۰۰ تومان (برای ابزارهای بهبود)",تمرکز بر خدمات اصلی و کاهش پیچیدگی,i,"بهبود خدمات بر اساس بازخوردها, توسعه فرآیندهای داخلی, ایجاد سیستم‌های گزارش‌دهی"
11,بررسی عملکرد و اصلاحات استراتژیک,ارزیابی جامع عملکرد کسب‌وکار و انجام اصلاحات لازم در استراتژی‌ها. این مرحله برای آماده‌سازی برای رشد بعدی حیاتی است.,review,main,720,85%,متوسط,دفتر مدیریت,"۳۰۰,۰۰۰ تومان (برای مشاوره و ابزارها)",مشاوره با متخصصان یا مشاوران,j,"تحلیل شاخص‌های کلیدی عملکرد, ارزیابی اثربخشی استراتژی‌ها, تدوین برنامه اصلاحی"
12,توسعه بازار و جذب سرمایه,توسعه به بازار‌های جدید و جذب سرمایه برای گسترش فعالیت‌ها. این مرحله برای رشد سریع ضروری است.,action,growth,1440,60%,بالا,مراکز سرمایه‌گذاری و بازارهای جدید,"۲,۰۰۰,۰۰۰ تومان (برای توسعه و جذب سرمایه)",تمرکز بر رشد ارگانیک و سرمایه‌گذاری محدود,k,"شناسایی بازارهای جدید, جذب سرمایه, توسعه فرآیندها برای رشد"
13,توسعه مدل پلکانی خدمات,,action,product,0,50%,low,,,,"a, b","طراحی套餐‌های خدمات با حجم‌های مختلف, تعیین استراتژی قیمت‌گذاری مرحله‌ای, توسعه نمونه‌های کاربردی برای هر سطح"
14,برنامه تاب‌آوری کسب‌وکار,,action,risk,0,50%,low,,,,c,"شناسایی ریسک‌های بالقوه و سناریوهای پاسخ, توسعه ذخایر مالی انعطاف‌پذیر, ایجاد برنامه‌های جایگزین برای خدمات کلیدی"
15,راه‌اندازی برنامه شریک‌سازی,,action,networking,0,50%,low,,,,f,"شناسایی شرکای بالقوه در صنایع مرتبط, توسعه فرآیندهای همکاری سودآور, ایجاد سیستم تقسیم درآمد منصفانه"
